# plants.csv — the master plant list defining the 30/week diversity count (SPEC §5, §13). Natural key: name.
# rarity_tier (common|uncommon|rare|legendary) assigned HEURISTICALLY by dietary commonness for v1
#   (SPEC §13: "Assigned manually in the plants master list for v1; data-driven later"). Tunable by owner/RD.
# description = the field-guide blurb (tap a collected tile). Curated, gut-forward, one line.
#   🔒 FENCE 4 (RD-REVIEW-REQUIRED) where a benefit/mechanism is implied. Never a dose or a cure claim.
# 2026-07-02 round 2: fermented plant foods join the guide as their OWN entries (kimchi is not
#   raw cabbage to your microbes) — see the "Fermented plant foods" block at the bottom.
# Mushrooms (fungi) and sea vegetables (algae) are not botanically plants but count toward the 30,
#   matching the popular framing.
# Format: pipe-delimited. name|scientific_name|plant_family|rarity_tier|description
name|scientific_name|plant_family|rarity_tier|description
Porcini Mushroom|Boletus edulis|Boletaceae|uncommon|A thick-stemmed, brown-capped wild mushroom with a deeply savory, nutty flavor highly prized in Italian and French cooking. Sold fresh in season and widely available dried year-round.
Portobello Mushroom|Agaricus bisporus|Agaricaceae|common|The fully matured, large-capped form of Agaricus bisporus, with a meaty, dense texture and earthy umami flavor. A staple in supermarkets worldwide, often used as a meat substitute.
Potato|Solanum tuberosum|Solanaceae|common|The humble spud turns prebiotic when cooked then COOLED — potato salad is resistant-starch food.
Pumpkin|Cucurbita pepo|Cucurbitaceae|uncommon|Carotenoid-dense flesh and seeds worth roasting — two finds in one gourd.
Pumpkin seed|Cucurbita pepo var. styriaca|Cucurbitaceae|uncommon|Zinc, magnesium, and a satisfying crunch — roast the ones from your own pumpkin.
Purple sweet potato|Ipomoea batatas (purple cultivars)|Convolvulaceae|rare|The orange classic gone violet — anthocyanins in a tuber. Okinawan tables swear by it; cool it after cooking for resistant starch too.
Quinoa|Chenopodium quinoa|Amaranthaceae|uncommon|A seed posing as a grain — complete protein plus saponins in the rinse water.
Radicchio|Cichorium intybus var. foliosum|Asteraceae|uncommon|A compact, round or elongated head of deep-red and white leaves with a distinctly bitter, slightly spicy flavour, commonly used raw in salads or grilled in Italian cooking. Its vivid colour comes from anthocyanins concentrated in the leaf tissues.
Radish|Raphanus sativus|Brassicaceae|common|A crunchy, peppery crucifer you can eat in seconds — the easy way to sneak a fourth plant into lunch.
Raspberry|Rubus idaeus|Rosaceae|uncommon|Eight grams of fiber a cup — the highest-fiber berry on the shelf.
Rhubarb|Rheum rhabarbarum|Polygonaceae|uncommon|A perennial vegetable grown for its tart, celery-like stalks which range from green to deep red; only the stalks are edible, as the leaves contain toxic oxalates. Commonly used in desserts and preserves in Western cooking.
Romaine lettuce|Lactuca sativa|Asteraceae|common|More than crunch: water, folate, and a gentle fiber that makes salads a habit.
Romanesco|Brassica oleracea var. botrytis|Brassicaceae|uncommon|A striking chartreuse brassica with a fractal spiral head of pointed florets, tasting milder and nuttier than broccoli or cauliflower. Often found at farmers' markets and specialty grocers.
Rosemary|Salvia rosmarinus|Lamiaceae|uncommon|Carnosic acid in needle form — a woody herb that survives every roast.
Rutabaga|Brassica napus subsp. rapifera|Brassicaceae|uncommon|A large, round root vegetable with yellowish flesh and purple-tinged skin, produced by crossing a turnip with a wild cabbage. It has a slightly sweet, earthy flavour and is commonly boiled or roasted.
Rye|Secale cereale|Poaceae|rare|Dense, dark, and prebiotic — real rye bread feeds crews that white loaves never reach.
Saffron|Crocus sativus|Iridaceae|rare|The dried stigmas of the saffron crocus flower, hand-harvested and prized as the world's most expensive spice by weight. Imparts a distinctive golden-yellow color and subtle floral, honey-like aroma to dishes.
Sage|Salvia officinalis|Lamiaceae|common|A woody perennial herb with soft, silvery-green leaves and a pungent, earthy aroma. A staple seasoning in Mediterranean and European cooking, often paired with poultry and stuffings.
Sauerkraut|Brassica oleracea (fermented)|Brassicaceae|uncommon|The simplest ferment there is: cabbage, salt, time. Choose the refrigerated kind — that's where the cultures live.
Serrano Pepper|Capsicum annuum var. serrano|Solanaceae|uncommon|A small, bright green chili pepper notably hotter than jalapeños (10,000–25,000 SHU), with a crisp, grassy flavor. Commonly used fresh in salsas, guacamole, and pico de gallo across Mexican cuisine.
Sesame seed|Sesamum indicum|Pedaliaceae|uncommon|Sesamin lignans in every sprinkle — tahini is its grown-up form.
Shallot|Allium cepa var. aggregatum|Amaryllidaceae|uncommon|Onion's refined cousin, denser in polyphenols per bite than most of the allium family.
Shiitake mushroom|Lentinula edodes|Omphalotaceae|uncommon|Lentinan — a beta-glucan studied for decades — plus real umami depth.
Snow Peas|Pisum sativum var. saccharatum|Fabaceae|common|A flat-podded pea variety eaten whole — pod and immature seeds together — before the seeds fully develop. The delicate pod is crisp and mildly sweet, commonly used raw or lightly stir-fried.
Sorghum|Sorghum bicolor|Poaceae|rare|The heirloom cereal with tannins and a pop — it even puffs like popcorn.
Soybean|Glycine max|Fabaceae|uncommon|The isoflavone legume — edamame is its freshest, simplest form.
Spelt|Triticum spelta|Poaceae|uncommon|An ancient hulled wheat species with a tough outer husk, cultivated in Europe for millennia. It has a mildly sweet, nutty flavor and is used in breads, pasta, and whole-grain dishes.
Spinach|Spinacia oleracea|Amaranthaceae|common|Lutein, folate, and chlorophyll that wilts into anything. The gateway green.
Split Peas|Pisum sativum|Fabaceae|common|Dried, hulled, and split field peas that come in green or yellow varieties. They dissolve readily when cooked, making them a base ingredient in soups and porridges across many cuisines.
Spring onion|Allium fistulosum|Amaryllidaceae|common|Two plants in one: prebiotic white bulb, chlorophyll-rich green tops. Use the whole thing.
Star Anise|Illicium verum|Schisandraceae|uncommon|Star anise is the star-shaped dried fruit of a small evergreen tree native to southern China and Vietnam. Its intensely sweet, licorice-like flavor comes primarily from the compound anethole.
Strawberry|Fragaria x ananassa|Rosaceae|common|Ellagic acid with universal appeal — the easiest red of the week.
Sugar Snap Peas|Pisum sativum var. macrocarpon|Fabaceae|common|A cross between snow peas and garden peas, featuring plump, round pods with fully developed sweet seeds inside, both eaten together. Noticeably sweeter and crunchier than snow peas due to higher sugar content.
Sumac|Rhus coriaria|Anacardiaceae|legendary|The lemony crimson dust of Middle Eastern kitchens — a legendary polyphenol find.
Sunflower seed|Helianthus annuus|Asteraceae|uncommon|Vitamin E and chlorogenic acid by the handful — the lunchbox classic holds up.
Sweet potato|Ipomoea batatas|Convolvulaceae|uncommon|Orange flesh, carotenoids, and a fiber mix that lands gently. Cool it after cooking for resistant starch.
Swiss chard|Beta vulgaris subsp. vulgaris|Amaranthaceae|rare|Rainbow stems, beet's leafy cousin — betalains and magnesium in one dramatic leaf.
Tarragon|Artemisia dracunculus|Asteraceae|uncommon|A slender perennial herb with narrow, glossy leaves and a subtle anise-licorice flavor. French tarragon is prized in classic European cuisine, particularly in sauces and vinaigrettes.
Teff|Eragrostis tef|Poaceae|uncommon|A tiny ancient grain native to the Horn of Africa, where it is most commonly ground into flour for injera flatbread. The minute seeds range from ivory to dark brown and have a mild, earthy, slightly molasses-like flavor when cooked.
Tempeh|Glycine max (fermented)|Fabaceae|rare|Whole soybeans bound by fungal fermentation — the fiber survives, unlike in most soy foods.
Thyme|Thymus vulgaris|Lamiaceae|uncommon|Thymol in tiny leaves — a pinch across the week quietly adds up.
Tomatillo|Physalis philadelphica|Solanaceae|uncommon|A small, round, green fruit encased in a papery husk, native to Mexico and widely used in Latin American cooking. Tomatillos have a tart, slightly citrusy flavor and firm texture, commonly used fresh or cooked in salsas.
Tomato|Solanum lycopersicum|Solanaceae|common|Lycopene central — and cooking concentrates it. Sauce counts.
Turmeric|Curcuma longa|Zingiberaceae|rare|Curcumin's home. Pair with black pepper — its piperine helps curcumin along.
Turnip|Brassica rapa subsp. rapa|Brassicaceae|uncommon|Old-world staple, two foods in one: peppery root plus greens that outdo it nutritionally.
Vanilla|Vanilla planifolia|Orchidaceae|uncommon|The cured seed pod of a tropical climbing orchid, native to Mexico. One of the most widely used flavoring ingredients in the world, recognized by its rich, sweet, and complex aromatic profile.
Vegetable Broth|||common|A light liquid made by simmering assorted vegetables such as onion, carrot, and celery in water. Widely used as a cooking base and soup foundation.
Wakame|Undaria pinnatifida|Alariaceae|rare|The silky seaweed in miso soup — fucoidan, a fiber unique to the ocean.
Walnut|Juglans regia|Juglandaceae|uncommon|Ellagitannins that your microbes turn into urolithins — the brainy-looking nut earns it.
Water Chestnut|Eleocharis dulcis|Cyperaceae|uncommon|A crisp, mildly sweet aquatic corm grown in paddy fields and marshes across Asia. It retains a pleasantly crunchy texture even after cooking and is widely used in stir-fries and dumplings.
Watercress|Nasturtium officinale|Brassicaceae|rare|Gram for gram one of the most nutrient-dense leaves known — a rare find worth hunting.
Watermelon|Citrullus lanatus|Cucurbitaceae|common|A large vine fruit with crisp, deep-red flesh and a high water content, enclosed in a thick green rind. A quintessential summer refreshment eaten fresh.
Watermelon Radish|Raphanus sativus var. longipinnatus|Brassicaceae|uncommon|A large heirloom daikon-type radish with a pale green exterior that reveals a vivid magenta-pink interior, resembling a miniature watermelon. Crisp and mildly peppery, it is commonly sliced raw into salads or pickled.
White bean|Phaseolus vulgaris var. albus|Fabaceae|uncommon|Creamy, mild, and one of the highest-fiber foods per cup in the whole guide.
White mushroom|Agaricus bisporus|Agaricaceae|common|Fungi, not botanically a plant — but beta-glucans earn it a guide page and your 30.
White Rice|Oryza sativa|Poaceae|common|The milled and polished grain of the rice plant, with bran and germ removed, resulting in a mild-flavored, white, starchy staple. It is one of the most widely consumed grains globally.
Whole wheat|Triticum aestivum|Poaceae|common|Arabinoxylan — wheat bran's signature fiber — is one of the most overlooked guild feeds.
Wild Rice|Zizania palustris|Poaceae|uncommon|An aquatic grass native to North American lakes and rivers, producing long, dark, slender grains with a nutty, earthy flavor. Not closely related to common rice despite the name.
Za'atar Blend|Origanum syriacum and blend|Multiple families|uncommon|A Middle Eastern spice blend built around dried thyme or wild oregano (Origanum syriacum), mixed with toasted sesame seeds, sumac, and salt. Used as a condiment, dip, and seasoning across the Levant region.
Zucchini|Cucurbita pepo var. cylindrica|Cucurbitaceae|common|Mild, fast, and shreds invisibly into sauces — an easy diversity point.
